config,question_model,doc_model,mode,sparse_weight,scope,neighbor_tolerance,group_kind,corpus,document,n_queries,recall@5,recall@10,mrr@10,ndcg@10
kk,kure,kure,dense,,doc,0,phrasing,mixed,PHRASE(직접포함),200,0.68,0.74,0.5607,0.6036
kk,kure,kure,dense,,doc,0,q_type_phrasing,mixed,1 의미기반 / 의역,50,0.2,0.22,0.144,0.1627
kk,kure,kure,dense,,doc,0,q_type_phrasing,mixed,1 의미기반 / 직접포함,50,0.46,0.56,0.3507,0.3996
kk,kure,kure,dense,,doc,0,q_type_phrasing,mixed,2 식별자+의미기반 / 의역,50,0.76,0.84,0.7153,0.7446
kk,kure,kure,dense,,doc,0,q_type_phrasing,mixed,2 식별자+의미기반 / 직접포함,50,0.76,0.78,0.6796,0.7042
kk,kure,kure,dense,,doc,0,q_type_phrasing,mixed,3 화자기반 / 의역,50,0.44,0.66,0.3086,0.3901
kk,kure,kure,dense,,doc,0,q_type_phrasing,mixed,3 화자기반 / 직접포함,50,0.86,0.92,0.6732,0.7325
kk,kure,kure,dense,,doc,0,q_type_phrasing,mixed,4 날짜기반 / 의역,50,0.12,0.12,0.085,0.0939
kk,kure,kure,dense,,doc,0,q_type_phrasing,mixed,4 날짜기반 / 직접포함,50,0.64,0.7,0.5392,0.5781
kk,kure,kure,dense,,doc,0,document_q_type,en,jabber_en / 1 의미기반,50,0.28,0.36,0.202,0.2392
kk,kure,kure,dense,,doc,0,document_q_type,en,jabber_en / 2 식별자+의미기반,50,0.8,0.82,0.7042,0.7333
kk,kure,kure,dense,,doc,0,document_q_type,en,jabber_en / 3 화자기반,50,0.66,0.78,0.5034,0.5692
kk,kure,kure,dense,,doc,0,document_q_type,en,jabber_en / 4 날짜기반,50,0.34,0.38,0.3112,0.3276
kk,kure,kure,dense,,doc,0,document_q_type,ru,jabber_ru / 1 의미기반,50,0.38,0.42,0.2927,0.3231
kk,kure,kure,dense,,doc,0,document_q_type,ru,jabber_ru / 2 식별자+의미기반,50,0.72,0.8,0.6907,0.7156
kk,kure,kure,dense,,doc,0,document_q_type,ru,jabber_ru / 3 화자기반,50,0.64,0.8,0.4784,0.5534
kk,kure,kure,dense,,doc,0,document_q_type,ru,jabber_ru / 4 날짜기반,50,0.42,0.44,0.313,0.3443
kk,kure,kure,dense,,doc,0,overall,multi,ALL(다국어),400,0.53,0.6,0.4369,0.4757
kk,kure,kure,dense,,doc,0,overall,all,ALL,400,0.53,0.6,0.4369,0.4757
